transaction_id,date,item
1,2016-10-30,Bread
2,2016-10-30,Scandinavian
2,2016-10-30,Scandinavian
3,2016-10-30,Hot chocolate
3,2016-10-30,Jam
3,2016-10-30,Cookies
4,2016-10-30,Muffin
5,2016-10-30,Coffee
5,2016-10-30,Pastry
5,2016-10-30,Bread
6,2016-10-30,Medialuna
6,2016-10-30,Pastry
6,2016-10-30,Muffin
7,2016-10-30,Medialuna
7,2016-10-30,Pastry
7,2016-10-30,Coffee
7,2016-10-30,Tea
8,2016-10-30,Pastry
8,2016-10-30,Bread
9,2016-10-30,Bread
9,2016-10-30,Muffin
10,2016-10-30,Scandinavian
10,2016-10-30,Medialuna
11,2016-10-30,Bread
11,2016-10-30,Medialuna
11,2016-10-30,Bread
11,2016-10-30,NONE
12,2016-10-30,Jam
12,2016-10-30,Coffee
12,2016-10-30,Tartine
12,2016-10-30,Pastry
12,2016-10-30,Tea
13,2016-10-30,Basket
13,2016-10-30,Bread
13,2016-10-30,Coffee
14,2016-10-30,Bread
14,2016-10-30,Medialuna
14,2016-10-30,Pastry
15,2016-10-30,NONE
15,2016-10-30,NONE
15,2016-10-30,Mineral water
15,2016-10-30,Scandinavian
16,2016-10-30,Bread
16,2016-10-30,Medialuna
16,2016-10-30,Coffee
17,2016-10-30,Hot chocolate
18,2016-10-30,Farm House
19,2016-10-30,Farm House
19,2016-10-30,Bread
20,2016-10-30,Bread
20,2016-10-30,Medialuna
21,2016-10-30,Coffee
21,2016-10-30,Coffee
21,2016-10-30,Medialuna
21,2016-10-30,Bread
22,2016-10-30,Jam
23,2016-10-30,Scandinavian
23,2016-10-30,Muffin
24,2016-10-30,Bread
25,2016-10-30,Scandinavian
26,2016-10-30,Fudge
27,2016-10-30,Scandinavian
28,2016-10-30,Coffee
28,2016-10-30,Bread
29,2016-10-30,Bread
29,2016-10-30,Jam
29,2016-10-30,NONE
30,2016-10-30,Bread
31,2016-10-30,Basket
32,2016-10-30,Scandinavian
32,2016-10-30,Muffin
33,2016-10-30,Coffee
34,2016-10-30,Coffee
34,2016-10-30,Muffin
35,2016-10-30,Muffin
35,2016-10-30,Scandinavian
36,2016-10-30,Tea
36,2016-10-30,Bread
37,2016-10-30,Coffee
37,2016-10-30,Bread
37,2016-10-30,NONE
38,2016-10-30,Bread
38,2016-10-30,Tea
39,2016-10-30,Scandinavian
40,2016-10-30,Juice
40,2016-10-30,NONE
